Positive,Negative,Neutral,Time
0.368,0.0,0.632,2012-09-11
0.227,0.148,0.625,2012-08-23
0.281,0.014,0.705,2012-08-12
0.133,0.076,0.791,2012-06-09
0.165,0.058,0.778,2012-04-03
0.077,0.15,0.773,2012-01-17
0.122,0.097,0.781,2010-10-21
0.351,0.0,0.649,2012-10-02
0.204,0.0,0.796,2011-03-04
0.226,0.0,0.774,2011-11-05
0.312,0.031,0.657,2011-05-11
0.0,0.087,0.913,2012-07-29
0.0,0.0,1.0,2011-12-09
0.069,0.018,0.914,2012-06-30
0.148,0.024,0.828,2010-11-22
0.168,0.06,0.772,2010-03-11
0.177,0.0,0.823,2012-03-23
0.091,0.07,0.839,2009-08-14
0.096,0.0,0.904,2012-10-20
0.242,0.0,0.758,2011-09-23
0.373,0.065,0.562,2011-05-15
0.0,0.0,1.0,2007-01-11
0.26,0.05,0.69,2009-01-20
0.0,0.0,1.0,2008-01-13
0.274,0.213,0.514,2007-01-09
0.312,0.0,0.688,2012-08-19
0.199,0.075,0.726,2012-07-13
0.342,0.064,0.594,2012-06-25
0.129,0.163,0.708,2012-05-03
0.115,0.029,0.856,2012-02-26
0.163,0.0,0.837,2012-01-17
0.0,0.115,0.885,2012-10-10
0.311,0.0,0.689,2012-05-09
0.338,0.0,0.662,2011-11-08
0.114,0.0,0.886,2012-05-11
0.154,0.046,0.8,2012-01-14
0.271,0.078,0.651,2012-10-19
0.235,0.0,0.765,2012-08-19
0.266,0.0,0.734,2012-09-08
0.098,0.078,0.823,2007-01-16
0.149,0.069,0.782,2010-08-13
0.302,0.041,0.657,2007-09-25
0.088,0.0,0.912,2007-05-27
0.211,0.11,0.678,2007-03-10
0.273,0.101,0.627,2007-03-10
0.231,0.044,0.725,2007-02-16
0.392,0.0,0.608,2007-01-11
0.155,0.093,0.752,2008-04-06
0.322,0.0,0.678,2007-12-21
0.068,0.071,0.861,2007-05-12
0.285,0.0,0.715,2007-06-13
0.209,0.064,0.727,2012-09-15
0.107,0.0,0.893,2009-11-19
0.112,0.0,0.888,2010-07-29
0.198,0.0,0.802,2010-12-07
0.215,0.05,0.734,2012-03-13
0.138,0.027,0.835,2011-02-12
0.105,0.0,0.895,2011-11-11
0.142,0.164,0.694,2012-09-18
0.295,0.0,0.705,2011-10-10
0.182,0.033,0.785,2011-10-16
0.0,0.228,0.772,2012-08-21
0.109,0.0,0.891,2012-02-01
0.258,0.0,0.742,2011-12-16
0.346,0.033,0.621,2011-09-17
0.156,0.076,0.768,2012-08-29
0.315,0.0,0.685,2012-06-04
0.122,0.038,0.84,2011-05-26
0.066,0.064,0.871,2010-09-07
0.087,0.0,0.913,2010-08-19
0.128,0.012,0.86,2012-01-21
0.27,0.087,0.643,2011-08-15
0.142,0.11,0.748,2011-05-18
0.412,0.0,0.588,2011-03-02
